Accession,FullDescription,Description,Species,Biological Process,Cellular Component,Molecular Function,WikiPathways,Reactome Pathways,KEGG Pathways
P40227,T-complex protein 1 subunit zeta OS=Homo sapiens OX=9606 GN=CCT6A PE=1 SV=3,T-complex protein 1 subunit zeta,Homo sapiens,other biological processes,cytosol;cytoskeleton;other cell component,other molecular function,16p11.2 proximal deletion syndrome,Formation of tubulin folding intermediates by CCT/TriC; Association of TriC/CCT with target proteins during biosynthesis; Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding; Prefoldin mediated transfer of substrate  to CCT/TriC; RHOBTB2 GTPase cycle; Folding of actin by CCT/TriC,
P17096-2,Isoform HMG-Y of High mobility group protein HMG-I/HMG-Y OS=Homo sapiens OX=9606 GN=HMGA1,Isoform HMG-Y of High mobility group protein HMG-I/HMG-Y,Homo sapiens,,,,,,
D6RF35,Gc-globulin OS=Homo sapiens OX=9606 GN=GC PE=1 SV=1,Gc-globulin,Homo sapiens,transport,non-structural extracellular,transporter activity;cytoskeletal activity;other molecular function,,,
Q92688,Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Homo sapiens OX=9606 GN=ANP32B PE=1 SV=1,Acidic leucine-rich nuclear phosphoprotein 32 family member B,Homo sapiens,cell organization and biogenesis;developmental processes;other biological processes,nucleus;other cell component,other molecular function,,,
E9PGN7,Plasma protease C1 inhibitor OS=Homo sapiens OX=9606 GN=SERPING1 PE=1 SV=1,Plasma protease C1 inhibitor,Homo sapiens,other biological processes,non-structural extracellular,enzyme regulator activity,Complement system; RAS and bradykinin pathways in COVID-19; Kinin-Kallikrein pathway,,
H9KV28,Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=1 SV=2,Protein diaphanous homolog 1,Homo sapiens,cell organization and biogenesis,,cytoskeletal activity;other molecular function,Focal adhesion; Type 2 papillary renal cell carcinoma,,
Q9UHD1,Cysteine and histidine-rich domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CHORDC1 PE=1 SV=2,Cysteine and histidine-rich domain-containing protein 1,Homo sapiens,cell cycle OR cell proliferation;cell organization and biogenesis;other biological processes,,other molecular function,,,
P07737,Profilin-1 OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=2,Profilin-1,Homo sapiens,cell-cell signaling;cell organization and biogenesis;signal transduction;other biological processes,cytosol;cytoskeleton;nucleus;other cell component,cytoskeletal activity;other molecular function,Physico-chemical features and toxicity-associated pathways; VEGFA-VEGFR2 signaling pathway; Burn wound healing; Regulation of actin cytoskeleton; G13 signaling pathway,Platelet degranulation ; RHO GTPases Activate Formins; PCP/CE pathway; Signaling by ROBO receptors,Rap1 signaling pathway; Regulation of actin cytoskeleton; Amyotrophic lateral sclerosis; Shigellosis; Salmonella infection
P17980,26S proteasome regulatory subunit 6A OS=Homo sapiens OX=9606 GN=PSMC3 PE=1 SV=3,26S proteasome regulatory subunit 6A,Homo sapiens,cell-cell signaling;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;signal transduction;other biological processes,non-structural extracellular;cytosol;nucleus;other cell component,other molecular function,Proteasome degradation; Alzheimer's disease and miRNA effects; Parkin-ubiquitin proteasomal system pathway; Alzheimer's disease,FCERI mediated NF-kB activation; Separation of Sister Chromatids; The role of GTSE1 in G2/M progression after G2 checkpoint; Neutrophil degranulation; UCH proteinases; Ub-specific processing proteases; RUNX1 regulates transcription of genes involved in differentiation of HSCs; Regulation of expression of SLITs and ROBOs; Downstream TCR signaling; Antigen processing: Ubiquitination & Proteasome degradation; Activation of NF-kappaB in B cells; Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha; ER-Phagosome pathway; Cross-presentation of soluble exogenous antigens (endosomes); SCF-beta-TrCP mediated degradation of Emi1; APC/C:Cdc20 mediated degradation of Securin; APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1; Cdc20:Phospho-APC/C mediated degradation of Cyclin A; Vpu mediated degradation of CD4; Vif-mediated degradation of APOBEC3G; Degradation of beta-catenin by the destruction complex; Regulation of activated PAK-2p34 by proteasome mediated degradation; Autodegradation of the E3 ubiquitin ligase COP1; Regulation of ornithine decarboxylase (ODC); ABC-family proteins mediated transport; AUF1 (hnRNP D0) binds and destabilizes mRNA; Asymmetric localization of PCP proteins; Degradation of AXIN; Degradation of DVL; Hedgehog ligand biogenesis; Hh mutants are degraded by ERAD; Dectin-1 mediated noncanonical NF-kB signaling; Degradation of GLI1 by the proteasome; Degradation of GLI2 by the proteasome; GLI3 is processed to GLI3R by the proteasome; Hedgehog 'on' state; Regulation of RAS by GAPs; NIK-->noncanonical NF-kB signaling; Defective CFTR causes cystic fibrosis; MAPK6/MAPK4 signaling; CDT1 association with the CDC6:ORC:origin complex; Orc1 removal from chromatin; CDK-mediated phosphorylation and removal of Cdc6; G2/M Checkpoints; Ubiquitin Mediated Degradation of Phosphorylated Cdc25A; Ubiquitin-dependent degradation of Cyclin D; FBXL7 down-regulates AURKA during mitotic entry and in early mitosis; ROS sensing by NFE2L2; Regulation of RUNX2 expression and activity; Regulation of PTEN stability and activity; Neddylation; Interleukin-1 signaling; Autodegradation of Cdh1 by Cdh1:APC/C; SCF(Skp2)-mediated degradation of p27/p21; Regulation of RUNX3 expression and activity; Negative regulation of NOTCH4 signaling,Proteasome; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Spinocerebellar ataxia; Prion disease; Pathways of neurodegeneration; Epstein-Barr virus infection
P00734,Prothrombin OS=Homo sapiens OX=9606 GN=F2 PE=1 SV=2,Prothrombin,Homo sapiens,protein metabolism;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes,non-structural extracellular;extracellular matrix;plasma membrane;other membranes;ER/Golgi,signal transduction activity or receptor binding;enzyme regulator activity;other molecular function,Selenium micronutrient network; Vitamin B12 metabolism; Folate metabolism; Blood clotting cascade; IL1 and megakaryocytes in obesity; Regulation of actin cytoskeleton; Complement and coagulation cascades,Cell surface interactions at the vascular wall; Regulation of Complement cascade; G alpha (q) signalling events; Peptide ligand-binding receptors; Thrombin signalling through proteinase activated receptors (PARs); Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Intrinsic Pathway of Fibrin Clot Formation; Common Pathway of Fibrin Clot Formation; Defective F8 cleavage by thrombin; Gamma-carboxylation of protein precursors; Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus; Removal of aminoterminal propeptides from gamma-carboxylated proteins; Platelet Aggregation (Plug Formation); Defective factor XII causes hereditary angioedema,Phospholipase D signaling pathway; Neuroactive ligand-receptor interaction; Complement and coagulation cascades; Platelet activation; Regulation of actin cytoskeleton; Pathogenic Escherichia coli infection; Coronavirus disease; Pathways in cancer
P31146,Coronin-1A OS=Homo sapiens OX=9606 GN=CORO1A PE=1 SV=4,Coronin-1A,Homo sapiens,cell adhesion;cell organization and biogenesis;stress response;transport;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;cytoskeleton;other cytoplasmic organelle;other cell component,cytoskeletal activity;other molecular function,16p11.2 proximal deletion syndrome,Prevention of phagosomal-lysosomal fusion,Phagosome; Tuberculosis
K7ELL7,Glucosidase 2 subunit beta OS=Homo sapiens OX=9606 GN=PRKCSH PE=1 SV=1,Glucosidase 2 subunit beta,Homo sapiens,other metabolic processes;developmental processes;other biological processes,ER/Golgi,nucleic acid binding activity;other molecular function,,,
P40429,60S ribosomal protein L13a OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2,60S ribosomal protein L13a,Homo sapiens,protein metabolism;RNA metabolism OR transcription;other metabolic processes;stress response;transport;other biological processes,cytosol;translational apparatus;other cell component,nucleic acid binding activity;other molecular function,VEGFA-VEGFR2 signaling pathway; Cytoplasmic ribosomal proteins,Regulation of expression of SLITs and ROBOs; Major pathway of rRNA processing in the nucleolus and cytosol; SRP-dependent cotranslational protein targeting to membrane; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); Eukaryotic Translation Termination; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); L13a-mediated translational silencing of Ceruloplasmin expression; Formation of a pool of free 40S subunits; GTP hydrolysis and joining of the 60S ribosomal subunit; Viral mRNA Translation; Response of EIF2AK4 (GCN2) to amino acid deficiency; Peptide chain elongation; Selenocysteine synthesis,Ribosome; Coronavirus disease
P05107,Integrin beta-2 OS=Homo sapiens OX=9606 GN=ITGB2 PE=1 SV=2,Integrin beta-2,Homo sapiens,cell adhesion;cell-cell signaling;cell organization and biogenesis;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;other cell component,signal transduction activity or receptor binding;other molecular function,Integrin-mediated cell adhesion; Complement system; Focal adhesion: PI3K-Akt-mTOR-signaling pathway; Microglia pathogen phagocytosis pathway; TYROBP causal network in microglia; Fibrin complement receptor 3 signaling pathway; Acute viral myocarditis; Cells and molecules involved in local acute inflammatory response ; Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms; Malignant pleural mesothelioma; Complement system in neuronal development and plasticity; CCL18 signaling pathway,Neutrophil degranulation; Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell; Cell surface interactions at the vascular wall; Integrin cell surface interactions; Interleukin-4 and Interleukin-13 signaling; Toll Like Receptor 4 (TLR4) Cascade,Rap1 signaling pathway; Phagosome; Hippo signaling pathway; Cell adhesion molecules; Complement and coagulation cascades; Neutrophil extracellular trap formation; Natural killer cell mediated cytotoxicity; Leukocyte transendothelial migration; Regulation of actin cytoskeleton; Pertussis; Legionellosis; Leishmaniasis; Malaria; Amoebiasis; Staphylococcus aureus infection; Tuberculosis; Human T-cell leukemia virus 1 infection; Rheumatoid arthritis; Viral myocarditis
A0A087WYT3,Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1,Prostaglandin E synthase 3,Homo sapiens,cell cycle OR cell proliferation;cell organization and biogenesis;DNA metabolism;other metabolic processes;developmental processes;signal transduction;other biological processes,,other molecular function,Aryl hydrocarbon receptor pathway; Glucocorticoid receptor pathway; Nuclear receptors meta-pathway,,
Q02543,60S ribosomal protein L18a OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=2,60S ribosomal protein L18a,Homo sapiens,protein metabolism;RNA metabolism OR transcription;other metabolic processes;transport;other biological processes,cytosol;translational apparatus,other molecular function,VEGFA-VEGFR2 signaling pathway; Cytoplasmic ribosomal proteins,Regulation of expression of SLITs and ROBOs; Major pathway of rRNA processing in the nucleolus and cytosol; SRP-dependent cotranslational protein targeting to membrane; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); Eukaryotic Translation Termination; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); L13a-mediated translational silencing of Ceruloplasmin expression; Formation of a pool of free 40S subunits; GTP hydrolysis and joining of the 60S ribosomal subunit; Viral mRNA Translation; Response of EIF2AK4 (GCN2) to amino acid deficiency; Peptide chain elongation; Selenocysteine synthesis,Ribosome; Coronavirus disease
P17096,High mobility group protein HMG-I/HMG-Y OS=Homo sapiens OX=9606 GN=HMGA1 PE=1 SV=3,High mobility group protein HMG-I/HMG-Y,Homo sapiens,cell organization and biogenesis;DNA metabolism;other metabolic processes;stress response;transport;other biological processes,cytosol;nucleus;other cell component,signal transduction activity or receptor binding;nucleic acid binding activity;other molecular function,Adipogenesis; Pre-implantation embryo; Male infertility; 7q11.23 copy number variation syndrome; NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence; Orexin receptor pathway; Senescence and autophagy in cancer,Vpr-mediated nuclear import of PICs; 2-LTR circle formation; Integration of viral DNA into host genomic DNA; Autointegration results in viral DNA circles; APOBEC3G mediated resistance to HIV-1 infection; Formation of Senescence-Associated Heterochromatin Foci (SAHF),
P00738,Haptoglobin OS=Homo sapiens OX=9606 GN=HP PE=1 SV=1,Haptoglobin,Homo sapiens,protein metabolism;other metabolic processes;stress response;transport;other biological processes,non-structural extracellular;other cell component,other molecular function,Network map of SARS-CoV-2 signaling pathway,Neutrophil degranulation; Scavenging of heme from plasma,
H0Y3P2,Eukaryotic translation initiation factor 4 gamma 2 OS=Homo sapiens OX=9606 GN=EIF4G2 PE=1 SV=1,Eukaryotic translation initiation factor 4 gamma 2,Homo sapiens,protein metabolism;other metabolic processes,cytosol,nucleic acid binding activity,Acute viral myocarditis,,
O75400,Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens OX=9606 GN=PRPF40A PE=1 SV=2,Pre-mRNA-processing factor 40 homolog A,Homo sapiens,cell cycle OR cell proliferation;cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes;other biological processes,nucleus,,mRNA processing,mRNA Splicing - Major Pathway,Spliceosome
O43592,Exportin-T OS=Homo sapiens OX=9606 GN=XPOT PE=1 SV=2,Exportin-T,Homo sapiens,transport,cytosol;nucleus;other cell component,nucleic acid binding activity;other molecular function,,tRNA processing in the nucleus,Nucleocytoplasmic transport
O00483,Cytochrome c oxidase subunit NDUFA4 OS=Homo sapiens OX=9606 GN=NDUFA4 PE=1 SV=1,Cytochrome c oxidase subunit NDUFA4,Homo sapiens,other metabolic processes;transport;other biological processes,other membranes;mitochondrion,transporter activity;other molecular function,Electron transport chain: OXPHOS system in mitochondria; Nonalcoholic fatty liver disease; Mitochondrial complex IV assembly; Oxidative phosphorylation,Respiratory electron transport; TP53 Regulates Metabolic Genes; Cytoprotection by HMOX1,Oxidative phosphorylation; Metabolic pathways; Thermogenesis; Retrograde endocannabinoid signaling; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration; Chemical carcinogenesis; Diabetic cardiomyopathy
Q8WYP3,Ras and Rab interactor 2 OS=Homo sapiens OX=9606 GN=RIN2 PE=1 SV=1,Ras and Rab interactor 2,Homo sapiens,transport;signal transduction;other biological processes,cytosol,enzyme regulator activity,,RAB GEFs exchange GTP for GDP on RABs,
P00558,Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3,Phosphoglycerate kinase 1,Homo sapiens,protein metabolism;other metabolic processes;stress response;other biological processes,non-structural extracellular;other membranes;cytosol,kinase activity;other molecular function,Cori cycle; Photodynamic therapy-induced HIF-1 survival signaling; VEGFA-VEGFR2 signaling pathway; Clear cell renal cell carcinoma pathways; Metabolic reprogramming in colon cancer; Aerobic glycolysis; Glycolysis in senescence; Glycolysis and gluconeogenesis,Glycolysis; Gluconeogenesis; Manipulation of host energy metabolism,Glycolysis / Gluconeogenesis; Metabolic pathways; Carbon metabolism; Biosynthesis of amino acids; HIF-1 signaling pathway
Q14847,LIM and SH3 domain protein 1 OS=Homo sapiens OX=9606 GN=LASP1 PE=1 SV=2,LIM and SH3 domain protein 1,Homo sapiens,transport,cytoskeleton;other cell component,transporter activity;cytoskeletal activity;other molecular function,,,
A0A5F9ZH72,Adenosine kinase OS=Homo sapiens OX=9606 GN=ADK PE=1 SV=1,Adenosine kinase,Homo sapiens,other metabolic processes,,kinase activity,Methionine metabolism leading to sulfur amino acids and related disorders,,
Q32Q12,Nucleoside diphosphate kinase OS=Homo sapiens OX=9606 GN=NME1-NME2 PE=1 SV=1,Nucleoside diphosphate kinase,Homo sapiens,other metabolic processes,cytosol,kinase activity;other molecular function,,,
P00491,Purine nucleoside phosphorylase OS=Homo sapiens OX=9606 GN=PNP PE=1 SV=2,Purine nucleoside phosphorylase,Homo sapiens,other metabolic processes;transport;other biological processes,non-structural extracellular;cytosol;nucleus;other cell component,other molecular function,VEGFA-VEGFR2 signaling pathway,Neutrophil degranulation; Purine catabolism; Purine salvage,Purine metabolism; Pyrimidine metabolism; Nicotinate and nicotinamide metabolism; Metabolic pathways
Q15056,Eukaryotic translation initiation factor 4H OS=Homo sapiens OX=9606 GN=EIF4H PE=1 SV=5,Eukaryotic translation initiation factor 4H,Homo sapiens,cell organization and biogenesis;protein metabolism;other metabolic processes;other biological processes,cytosol;translational apparatus;other cell component,translation activity;nucleic acid binding activity,Translation factors; 7q11.23 copy number variation syndrome,L13a-mediated translational silencing of Ceruloplasmin expression; Translation initiation complex formation; Ribosomal scanning and start codon recognition; GTP hydrolysis and joining of the 60S ribosomal subunit,
Q07666,"KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Homo sapiens OX=9606 GN=KHDRBS1 PE=1 SV=1","KH domain-containing, RNA-binding, signal transduction-associated protein 1",Homo sapiens,cell cycle OR cell proliferation;RNA metabolism OR transcription;other metabolic processes;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;nucleus;other cell component,nucleic acid binding activity;other molecular function,Leptin signaling pathway,PTK6 Regulates Proteins Involved in RNA Processing,
Q96KB5,Lymphokine-activated killer T-cell-originated protein kinase OS=Homo sapiens OX=9606 GN=PBK PE=1 SV=3,Lymphokine-activated killer T-cell-originated protein kinase,Homo sapiens,cell cycle OR cell proliferation;protein metabolism;other metabolic processes;signal transduction;other biological processes,nucleus,kinase activity;other molecular function,"4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression; VEGFA-VEGFR2 signaling pathway",,
H0YM48,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial OS=Homo sapiens OX=9606 GN=CLPX PE=1 SV=1","ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",Homo sapiens,other biological processes,,other molecular function,,,
P04839,Cytochrome b-245 heavy chain OS=Homo sapiens OX=9606 GN=CYBB PE=1 SV=2,Cytochrome b-245 heavy chain,Homo sapiens,other metabolic processes;stress response;transport;signal transduction;other biological processes,plasma membrane;other membranes;ER/Golgi;nucleus;other cell component,transporter activity;other molecular function,Alzheimer's disease and miRNA effects; VEGFA-VEGFR2 signaling pathway; Microglia pathogen phagocytosis pathway; Oxidative stress response; Ferroptosis; Alzheimer's disease; Type II interferon signaling (IFNG),Neutrophil degranulation; RAC1 GTPase cycle; RAC2 GTPase cycle; RAC3 GTPase cycle; Detoxification of Reactive Oxygen Species; VEGFA-VEGFR2 Pathway; ROS and RNS production in phagocytes; Cross-presentation of particulate exogenous antigens (phagosomes); RHO GTPases Activate NADPH Oxidases,HIF-1 signaling pathway; Phagosome; Ferroptosis; Necroptosis; Neutrophil extracellular trap formation; NOD-like receptor signaling pathway; Leukocyte transendothelial migration; AGE-RAGE signaling pathway in diabetic complications; Alzheimer disease; Prion disease; Pathways of neurodegeneration; Leishmaniasis; Coronavirus disease; Diabetic cardiomyopathy; Lipid and atherosclerosis
P47929,Galectin-7 OS=Homo sapiens OX=9606 GN=LGALS7 PE=1 SV=2,Galectin-7,Homo sapiens,cell adhesion;other biological processes,non-structural extracellular;cytosol;nucleus,other molecular function,,,
P50990,T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4,T-complex protein 1 subunit theta,Homo sapiens,cell organization and biogenesis;transport;other biological processes,non-structural extracellular;cytosol;cytoskeleton;nucleus;other cytoplasmic organelle;other cell component,other molecular function,16p11.2 proximal deletion syndrome,Neutrophil degranulation; Formation of tubulin folding intermediates by CCT/TriC; BBSome-mediated cargo-targeting to cilium; Association of TriC/CCT with target proteins during biosynthesis; Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding; Prefoldin mediated transfer of substrate  to CCT/TriC; Folding of actin by CCT/TriC,
P30050,60S ribosomal protein L12 OS=Homo sapiens OX=9606 GN=RPL12 PE=1 SV=1,60S ribosomal protein L12,Homo sapiens,protein metabolism;RNA metabolism OR transcription;other metabolic processes;transport;other biological processes,cytosol;translational apparatus;other cell component,nucleic acid binding activity;other molecular function,Cytoplasmic ribosomal proteins,Regulation of expression of SLITs and ROBOs; L13a-mediated translational silencing of Ceruloplasmin expression; Formation of a pool of free 40S subunits; GTP hydrolysis and joining of the 60S ribosomal subunit; Major pathway of rRNA processing in the nucleolus and cytosol; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); SRP-dependent cotranslational protein targeting to membrane; Viral mRNA Translation; Response of EIF2AK4 (GCN2) to amino acid deficiency; Peptide chain elongation; Selenocysteine synthesis; Eukaryotic Translation Termination; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),Ribosome; Coronavirus disease
Q04760,Lactoylglutathione lyase OS=Homo sapiens OX=9606 GN=GLO1 PE=1 SV=4,Lactoylglutathione lyase,Homo sapiens,other metabolic processes;developmental processes;other biological processes,plasma membrane;other membranes;cytosol;nucleus;other cell component,other molecular function,,Pyruvate metabolism,Pyruvate metabolism; Metabolic pathways
P60842,Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1,Eukaryotic initiation factor 4A-I,Homo sapiens,protein metabolism;other metabolic processes;other biological processes,cytosol;translational apparatus;other cell component,nucleic acid binding activity;other molecular function,Translation factors; Fragile X syndrome; Translation inhibitors in chronically activated PDGFRA cells; Interferon type I signaling pathways,ISG15 antiviral mechanism; L13a-mediated translational silencing of Ceruloplasmin expression; GTP hydrolysis and joining of the 60S ribosomal subunit; Translation initiation complex formation; Ribosomal scanning and start codon recognition; Deadenylation of mRNA,
P84098,60S ribosomal protein L19 OS=Homo sapiens OX=9606 GN=RPL19 PE=1 SV=1,60S ribosomal protein L19,Homo sapiens,protein metabolism;RNA metabolism OR transcription;other metabolic processes;transport;other biological processes,cytosol;translational apparatus;nucleus,other molecular function,Cytoplasmic ribosomal proteins,Regulation of expression of SLITs and ROBOs; Major pathway of rRNA processing in the nucleolus and cytosol; SRP-dependent cotranslational protein targeting to membrane; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); Eukaryotic Translation Termination; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); L13a-mediated translational silencing of Ceruloplasmin expression; Formation of a pool of free 40S subunits; GTP hydrolysis and joining of the 60S ribosomal subunit; Viral mRNA Translation; Response of EIF2AK4 (GCN2) to amino acid deficiency; Peptide chain elongation; Selenocysteine synthesis,Ribosome; Coronavirus disease
Q92945,Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4,Far upstream element-binding protein 2,Homo sapiens,RNA metabolism OR transcription;other metabolic processes;transport;other biological processes,cytosol;nucleus;other cell component,nucleic acid binding activity,Pre-implantation embryo,ATF4 activates genes in response to endoplasmic reticulum  stress; KSRP (KHSRP) binds and destabilizes mRNA,
P31946,14-3-3 protein beta/alpha OS=Homo sapiens OX=9606 GN=YWHAB PE=1 SV=3,14-3-3 protein beta/alpha,Homo sapiens,cell organization and biogenesis;transport;signal transduction;other biological processes,other membranes;cytosol;mitochondrion;nucleus;other cytoplasmic organelle;other cell component,enzyme regulator activity;other molecular function,Cell cycle; IL-3 signaling pathway; Myometrial relaxation and contraction pathways; Hepatitis B infection; Calcium regulation in cardiac cells; Sudden infant death syndrome (SIDS) susceptibility pathways,"Translocation of SLC2A4 (GLUT4) to the plasma membrane; TP53 Regulates Metabolic Genes; Signaling by BRAF and RAF1 fusions; Signaling by moderate kinase activity BRAF mutants; Paradoxical activation of RAF signaling by kinase inactive BRAF; Signaling downstream of RAS mutants; Signaling by RAF1 mutants; MAP2K and MAPK activation; Signaling by high-kinase activity BRAF mutants; RHO GTPases activate PKNs; RAF activation; Negative regulation of MAPK pathway; Regulation of localization of FOXO transcription factors; mTORC1-mediated signalling; Signaling by Hippo; Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex; SHOC2 M1731 mutant abolishes MRAS complex function; Gain-of-function MRAS complexes activate RAF signaling; Rap1 signalling; Frs2-mediated activation; ARMS-mediated activation; Activation of BAD and translocation to mitochondria ; Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA; Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA",Cell cycle; Oocyte meiosis; PI3K-Akt signaling pathway; Hippo signaling pathway; Hepatitis C; Hepatitis B; Viral carcinogenesis
H0YAF8,Receptor of-activated protein C kinase 1 (Fragment) OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=1,Receptor of-activated protein C kinase 1 (Fragment),Homo sapiens,,,,Angiotensin II receptor type 1 pathway,,
P49411,"Elongation factor Tu, mitochondrial OS=Homo sapiens OX=9606 GN=TUFM PE=1 SV=2","Elongation factor Tu, mitochondrial",Homo sapiens,protein metabolism;other metabolic processes;other biological processes,mitochondrion;other cell component,nucleic acid binding activity;other molecular function,16p11.2 distal deletion syndrome,Mitochondrial translation elongation,
P23526,Adenosylhomocysteinase OS=Homo sapiens OX=9606 GN=AHCY PE=1 SV=4,Adenosylhomocysteinase,Homo sapiens,other metabolic processes;stress response;other biological processes,cytosol;nucleus;other cell component,other molecular function,Folate metabolism; Trans-sulfuration pathway; One-carbon metabolism; Trans-sulfuration and one-carbon metabolism; Methionine de novo and salvage pathway; Ethanol effects on histone modifications,"Methylation; Sulfur amino acid metabolism; Metabolism of ingested SeMet, Sec, MeSec into H2Se; Defective AHCY causes HMAHCHD",Cysteine and methionine metabolism; Metabolic pathways
Q00013,55 kDa erythrocyte membrane protein OS=Homo sapiens OX=9606 GN=MPP1 PE=1 SV=2,55 kDa erythrocyte membrane protein,Homo sapiens,other metabolic processes;signal transduction;other biological processes,plasma membrane;other membranes;cytoskeleton;other cell component,kinase activity,MECP2 and associated Rett syndrome,Sensory processing of sound by outer hair cells of the cochlea,
P28799,Progranulin OS=Homo sapiens OX=9606 GN=GRN PE=1 SV=2,Progranulin,Homo sapiens,cell organization and biogenesis;transport;developmental processes;signal transduction;other biological processes,non-structural extracellular;plasma membrane;other membranes;ER/Golgi;other cytoplasmic organelle,signal transduction activity or receptor binding;other molecular function,Integrated breast cancer pathway; IL-18 signaling pathway,Neutrophil degranulation,
Q9H3Z4,DnaJ homolog subfamily C member 5 OS=Homo sapiens OX=9606 GN=DNAJC5 PE=1 SV=1,DnaJ homolog subfamily C member 5,Homo sapiens,cell-cell signaling;transport;other biological processes,plasma membrane;other membranes;cytosol;ER/Golgi;other cytoplasmic organelle;other cell component,other molecular function,,"Neutrophil degranulation; Sensory processing of sound by inner hair cells of the cochlea; GABA synthesis, release, reuptake and degradation",Protein processing in endoplasmic reticulum
E9PEJ4,Acetyltransferase component of pyruvate dehydrogenase complex OS=Homo sapiens OX=9606 GN=DLAT PE=1 SV=1,Acetyltransferase component of pyruvate dehydrogenase complex,Homo sapiens,other metabolic processes,mitochondrion;other cell component,other molecular function,TCA cycle and deficiency of pyruvate dehydrogenase complex (PDHc),,
